Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Date,Team,Unnamed: 2,Opp,Result,GmSc,+/-
2001-02,27.0,DAL,NBA,SG,4.0,0.0,6.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.5,1.0,1.5,0.5,0.5,0.3,0.8,1.3,0.0,Tariq Abdul-Wahad,,,,,,,
2002-03,28.0,DAL,NBA,SG,14.0,0.0,14.6,1.9,4.1,0.466,0.0,0.1,0.0,1.9,4.1,0.474,0.466,0.2,0.4,0.5,1.0,1.9,2.9,1.5,0.4,0.2,0.5,1.9,4.1,Tariq Abdul-Wahad,,,,,,,
Career,,,NBA,,236.0,145.0,20.4,3.1,7.3,0.417,0.1,0.3,0.237,3.0,7.0,0.425,0.422,1.6,2.2,0.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8,Tariq Abdul-Wahad,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tariq Abdul-Wahad,,,,,,,
2 seasons,,SAC,NBA,,108.0,65.0,20.0,3.0,7.1,0.42,0.1,0.4,0.25,2.9,6.7,0.43,0.427,1.6,2.4,0.682,1.1,1.7,2.8,0.9,0.8,0.3,1.3,1.9,7.7,Tariq Abdul-Wahad,,,,,,,
3 seasons,,DEN,NBA,,64.0,34.0,18.9,2.3,6.0,0.385,0.1,0.2,0.429,2.2,5.8,0.383,0.393,1.2,1.7,0.691,1.2,1.8,3.0,1.1,0.6,0.5,1.2,2.1,5.9,Tariq Abdul-Wahad,,,,,,,
1 season,,ORL,NBA,,46.0,46.0,26.2,4.8,11.2,0.433,0.0,0.5,0.095,4.8,10.7,0.447,0.435,2.5,3.3,0.762,1.7,3.5,5.2,1.6,1.2,0.3,1.9,2.5,12.2,Tariq Abdul-Wahad,,,,,,,
2 seasons,,DAL,NBA,,18.0,0.0,12.7,1.5,3.3,0.45,0.0,0.1,0.0,1.5,3.3,0.458,0.45,0.2,0.4,0.429,0.9,1.7,2.6,1.3,0.4,0.2,0.6,1.7,3.2,Tariq Abdul-Wahad,,,,,,,
1996-97,20.0,VAN,NBA,PF,80.0,71.0,35.0,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1.0,1.0,2.8,2.5,18.7,Shareef Abdur-Rahim,,,,,,,
1997-98,21.0,VAN,NBA,SF,82.0,82.0,36.0,8.0,16.4,0.485,0.3,0.6,0.412,7.7,15.8,0.488,0.493,6.1,7.8,0.784,2.8,4.3,7.1,2.6,1.1,0.9,3.1,2.5,22.3,Shareef Abdur-Rahim,,,,,,,
1998-99,22.0,VAN,NBA,SF,50.0,50.0,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23.0,Shareef Abdur-Rahim,,,,,,,
1999-00,23.0,VAN,NBA,SF,82.0,82.0,39.3,7.2,15.6,0.465,0.4,1.2,0.302,6.9,14.4,0.478,0.477,5.4,6.7,0.809,2.7,7.4,10.1,3.3,1.1,1.1,3.0,3.0,20.3,Shareef Abdur-Rahim,,,,,,,
